species,individual_id,group_id,age,sex,habitat,individual_body_mass_g,max_adult_body_mass_g,resting_metabolic_rate,taxonomic.class,tissue,grouped_tissue,diet.type,food_type,No_animals,length_trial_days,lipid_extracted,source.iso.13C,source.iso.13C_error,source.iso.15N,source.iso.15N_error,delta13C,delta_13C_error,delta15N,delta_15N_error,error_type,citation,Notes,Data_type,Co_author,Co_author_email,email_worked,reply_received,data_received,data_input,follow_up_needed,priority,further_notes,,,,,,,
Spheniscus_magellanicus,1,3,,female,terrestrial,,4000,0.087,aves,blood,blood,carnivore,anchovy,1,70,yes,-17.91,0.73,15.96,0.69,0.45961154,,2.08046283,,sd,"Ciancio et al 2016. Blood-specific isotopic discrimination factors in the Magellanic penguin (Spheniscus magellanicus). Rapis Communications in Mass Spectrometry. 30, 1865-1869.",controlled experiment,aggregated into mean,Dr. Javier E. Ciancio,,yes,yes,yes,yes,no,,,,,,,,,
Spheniscus_magellanicus,2,3,,female,terrestrial,,4000,0.087,aves,blood,blood,carnivore,anchovy,1,70,yes,-17.91,0.73,15.96,0.69,0.16902596,,2.30961852,,sd,"Ciancio et al 2016. Blood-specific isotopic discrimination factors in the Magellanic penguin (Spheniscus magellanicus). Rapis Communications in Mass Spectrometry. 30, 1865-1869.",controlled experiment,aggregated into mean,Dr. Javier E. Ciancio,,yes,yes,yes,yes,no,,,,,,,,,
Spheniscus_magellanicus,3,3,,male,terrestrial,,4000,0.087,aves,blood,blood,carnivore,anchovy,1,70,yes,-17.91,0.73,15.96,0.69,0.39530755,,2.31341907,,sd,"Ciancio et al 2016. Blood-specific isotopic discrimination factors in the Magellanic penguin (Spheniscus magellanicus). Rapis Communications in Mass Spectrometry. 30, 1865-1869.",controlled experiment,aggregated into mean,Dr. Javier E. Ciancio,,yes,yes,yes,yes,no,,,,,,,,,
Spheniscus_magellanicus,4,3,,male,terrestrial,,4000,0.087,aves,blood,blood,carnivore,anchovy,1,70,yes,-17.91,0.73,15.96,0.69,0.37281834,,1.96897589,,sd,"Ciancio et al 2016. Blood-specific isotopic discrimination factors in the Magellanic penguin (Spheniscus magellanicus). Rapis Communications in Mass Spectrometry. 30, 1865-1869.",controlled experiment,aggregated into mean,Dr. Javier E. Ciancio,,yes,yes,yes,yes,no,,,,,,,,,
Spheniscus_magellanicus,5,3,,male,terrestrial,,4000,0.087,aves,blood,blood,carnivore,anchovy,1,70,yes,-17.91,0.73,15.96,0.69,0.37683471,,2.2025074,,sd,"Ciancio et al 2016. Blood-specific isotopic discrimination factors in the Magellanic penguin (Spheniscus magellanicus). Rapis Communications in Mass Spectrometry. 30, 1865-1869.",controlled experiment,aggregated into mean,Dr. Javier E. Ciancio,,yes,yes,yes,yes,no,,,,,,,,,
Spheniscus_magellanicus,6,3,,male,terrestrial,,4000,0.087,aves,blood,blood,carnivore,anchovy,1,70,yes,-17.91,0.73,15.96,0.69,0.28682394,,2.02419152,,sd,"Ciancio et al 2016. Blood-specific isotopic discrimination factors in the Magellanic penguin (Spheniscus magellanicus). Rapis Communications in Mass Spectrometry. 30, 1865-1869.",controlled experiment,aggregated into mean,Dr. Javier E. Ciancio,,yes,yes,yes,yes,no,,,,,,,,,
Spheniscus_magellanicus,7,3,,male,terrestrial,,4000,0.087,aves,blood,blood,carnivore,anchovy,1,70,yes,-17.91,0.73,15.96,0.69,0.30890044,,2.34944923,,sd,"Ciancio et al 2016. Blood-specific isotopic discrimination factors in the Magellanic penguin (Spheniscus magellanicus). Rapis Communications in Mass Spectrometry. 30, 1865-1869.",controlled experiment,aggregated into mean,Dr. Javier E. Ciancio,,yes,yes,yes,yes,no,,,,,,,,,
Spheniscus_magellanicus,8,3,,female,terrestrial,,4000,0.087,aves,blood,blood,carnivore,anchovy,1,70,yes,-17.91,0.73,15.96,0.69,0.39742071,,2.04004158,,sd,"Ciancio et al 2016. Blood-specific isotopic discrimination factors in the Magellanic penguin (Spheniscus magellanicus). Rapis Communications in Mass Spectrometry. 30, 1865-1869.",controlled experiment,aggregated into mean,Dr. Javier E. Ciancio,,yes,yes,yes,yes,no,,,,,,,,,
Spheniscus_magellanicus,9,3,,male,terrestrial,,4000,0.087,aves,blood,blood,carnivore,anchovy,1,70,yes,-17.91,0.73,15.96,0.69,0.35210798,,2.44146361,,sd,"Ciancio et al 2016. Blood-specific isotopic discrimination factors in the Magellanic penguin (Spheniscus magellanicus). Rapis Communications in Mass Spectrometry. 30, 1865-1869.",controlled experiment,aggregated into mean,Dr. Javier E. Ciancio,,yes,yes,yes,yes,no,,,,,,,,,
Spheniscus_magellanicus,10,3,,male,terrestrial,,4000,0.087,aves,blood,blood,carnivore,anchovy,1,70,yes,-17.91,0.73,15.96,0.69,0.2649288,,2.18163968,,sd,"Ciancio et al 2016. Blood-specific isotopic discrimination factors in the Magellanic penguin (Spheniscus magellanicus). Rapis Communications in Mass Spectrometry. 30, 1865-1869.",controlled experiment,aggregated into mean,Dr. Javier E. Ciancio,,yes,yes,yes,yes,no,,,,,,,,,
